id,game_scope,owner,class,title,url,state,scope_notes
JP-BW-PKM-ROOT,BW,Pokemon.co.jp,official-web,Official site,https://www.pokemon.co.jp/series/bw/,Enumerating,root; embedded media/external campaigns remain open
JP-BW-PKM-SITEMAP,BW,Pokemon.co.jp,official-web,Site map,https://www.pokemon.co.jp/series/bw/sitemap/,Enumerated-core,primary core HTML index
JP-BW-PKM-STARTERS,BW,Pokemon.co.jp,official-web,Starter overview,https://www.pokemon.co.jp/series/bw/pokemon/first3.html,Registered,Pokemon
JP-BW-PKM-SNIVY,BW,Pokemon.co.jp,official-web,Snivy,https://www.pokemon.co.jp/series/bw/pokemon/first3/fp01.html,Registered,Pokemon
JP-BW-PKM-TEPIG,BW,Pokemon.co.jp,official-web,Tepig,https://www.pokemon.co.jp/series/bw/pokemon/first3/fp02.html,Registered,Pokemon
JP-BW-PKM-OSHAWOTT,BW,Pokemon.co.jp,official-web,Oshawott,https://www.pokemon.co.jp/series/bw/pokemon/first3/fp03.html,Registered,Pokemon
JP-BW-PKM-LEGEND,BW,Pokemon.co.jp,official-web,Legendary overview,https://www.pokemon.co.jp/series/bw/pokemon/legend.html,Registered,Pokemon
JP-BW-PKM-RESHIRAM,BW,Pokemon.co.jp,official-web,Reshiram,https://www.pokemon.co.jp/series/bw/pokemon/legend/reshiram.html,Registered,Pokemon
JP-BW-PKM-ZEKROM,BW,Pokemon.co.jp,official-web,Zekrom,https://www.pokemon.co.jp/series/bw/pokemon/legend/zekrom.html,Registered,Pokemon
JP-BW-PKM-NEWPKM,BW,Pokemon.co.jp,official-web,New Pokemon overview,https://www.pokemon.co.jp/series/bw/pokemon/new.html,Registered,Pokemon
JP-BW-PKM-PANSEAR,BW,Pokemon.co.jp,official-web,Pansear,https://www.pokemon.co.jp/series/bw/pokemon/new/pk023.html,Registered,Pokemon
JP-BW-PKM-PANPOUR,BW,Pokemon.co.jp,official-web,Panpour,https://www.pokemon.co.jp/series/bw/pokemon/new/pk024.html,Registered,Pokemon
JP-BW-PKM-PANSAGE,BW,Pokemon.co.jp,official-web,Pansage,https://www.pokemon.co.jp/series/bw/pokemon/new/pk022.html,Registered,Pokemon
JP-BW-PKM-DEERLING,BW,Pokemon.co.jp,official-web,Deerling,https://www.pokemon.co.jp/series/bw/pokemon/new/pk015.html,Registered,Pokemon
JP-BW-PKM-SWANNA,BW,Pokemon.co.jp,official-web,Swanna,https://www.pokemon.co.jp/series/bw/pokemon/new/pk016.html,Registered,Pokemon
JP-BW-PKM-DRILBUR,BW,Pokemon.co.jp,official-web,Drilbur,https://www.pokemon.co.jp/series/bw/pokemon/new/pk017.html,Registered,Pokemon
