id,game_scope,owner,class,title,url,state,scope_notes
JP-BW-PKM-ALOMOMOLA,BW,Pokemon.co.jp,official-web,Alomomola,https://www.pokemon.co.jp/series/bw/pokemon/new/pk019.html,Registered,Pokemon
JP-BW-PKM-GIGALITH,BW,Pokemon.co.jp,official-web,Gigalith,https://www.pokemon.co.jp/series/bw/pokemon/new/pk020.html,Registered,Pokemon
JP-BW-PKM-SEWADDLE,BW,Pokemon.co.jp,official-web,Sewaddle,https://www.pokemon.co.jp/series/bw/pokemon/new/pk021.html,Registered,Pokemon
JP-BW-PKM-AXEW,BW,Pokemon.co.jp,official-web,Axew,https://www.pokemon.co.jp/series/bw/pokemon/new/pk008.html,Registered,Pokemon
JP-BW-PKM-WOOBAT,BW,Pokemon.co.jp,official-web,Woobat,https://www.pokemon.co.jp/series/bw/pokemon/new/pk009.html,Registered,Pokemon
JP-BW-PKM-PATRAT,BW,Pokemon.co.jp,official-web,Patrat,https://www.pokemon.co.jp/series/bw/pokemon/new/pk010.html,Registered,Pokemon
JP-BW-PKM-WATCHOG,BW,Pokemon.co.jp,official-web,Watchog,https://www.pokemon.co.jp/series/bw/pokemon/new/pk018.html,Registered,Pokemon
JP-BW-PKM-GOTHITELLE,BW,Pokemon.co.jp,official-web,Gothitelle,https://www.pokemon.co.jp/series/bw/pokemon/new/pk011.html,Registered,Pokemon
JP-BW-PKM-REUNICLUS,BW,Pokemon.co.jp,official-web,Reuniclus,https://www.pokemon.co.jp/series/bw/pokemon/new/pk012.html,Registered,Pokemon
JP-BW-PKM-BRAVIARY,BW,Pokemon.co.jp,official-web,Braviary,https://www.pokemon.co.jp/series/bw/pokemon/new/pk013.html,Registered,Pokemon
JP-BW-PKM-MUNNA,BW,Pokemon.co.jp,official-web,Munna,https://www.pokemon.co.jp/series/bw/pokemon/new/pk001.html,Registered,Pokemon
JP-BW-PKM-MUSHARNA,BW,Pokemon.co.jp,official-web,Musharna,https://www.pokemon.co.jp/series/bw/pokemon/new/pk014.html,Registered,Pokemon
JP-BW-PKM-PIDOVE,BW,Pokemon.co.jp,official-web,Pidove,https://www.pokemon.co.jp/series/bw/pokemon/new/pk002.html,Registered,Pokemon
JP-BW-PKM-MINCCINO,BW,Pokemon.co.jp,official-web,Minccino,https://www.pokemon.co.jp/series/bw/pokemon/new/pk003.html,Registered,Pokemon
JP-BW-PKM-BLITZLE,BW,Pokemon.co.jp,official-web,Blitzle,https://www.pokemon.co.jp/series/bw/pokemon/new/pk004.html,Registered,Pokemon
JP-BW-PKM-SANDILE,BW,Pokemon.co.jp,official-web,Sandile,https://www.pokemon.co.jp/series/bw/pokemon/new/pk005.html,Registered,Pokemon
JP-BW-PKM-DARMANITAN,BW,Pokemon.co.jp,official-web,Darmanitan,https://www.pokemon.co.jp/series/bw/pokemon/new/pk006.html,Registered,Pokemon
JP-BW-PKM-KLINK,BW,Pokemon.co.jp,official-web,Klink,https://www.pokemon.co.jp/series/bw/pokemon/new/pk007.html,Registered,Pokemon
JP-BW-PKM-VICTINI,BW,Pokemon.co.jp,official-web,Victini,https://www.pokemon.co.jp/series/bw/pokemon/v001.html,Registered,Pokemon
JP-BW-PKM-STORY-ROOT,BW,Pokemon.co.jp,official-web,Story root,https://www.pokemon.co.jp/series/bw/story/,Registered,core site page
JP-BW-PKM-STORY-UNOVA,BW,Pokemon.co.jp,official-web,Unova,https://www.pokemon.co.jp/series/bw/story/story01.html,Registered,core site page
JP-BW-PKM-STORY-VER,BW,Pokemon.co.jp,official-web,Version differences,https://www.pokemon.co.jp/series/bw/story/story03.html,Registered,core site page
JP-BW-PKM-STORY-ITEMS,BW,Pokemon.co.jp,official-web,Adventure items,https://www.pokemon.co.jp/series/bw/story/story02.html,Registered,core site page
JP-BW-PKM-CHAR-ROOT,BW,Pokemon.co.jp,official-web,Characters root,https://www.pokemon.co.jp/series/bw/characters/,Registered,core site page
JP-BW-PKM-CHAR-PROTAG,BW,Pokemon.co.jp,official-web,Protagonist,https://www.pokemon.co.jp/series/bw/characters/characters01.html,Registered,core site page
JP-BW-PKM-CHAR-FRIENDS,BW,Pokemon.co.jp,official-web,Childhood friends,https://www.pokemon.co.jp/series/bw/characters/characters03.html,Registered,core site page
JP-BW-PKM-CHAR-JUNIPER,BW,Pokemon.co.jp,official-web,Professor Juniper,https://www.pokemon.co.jp/series/bw/characters/characters02.html,Registered,core site page
JP-BW-PKM-CHAR-FENNEL,BW,Pokemon.co.jp,official-web,Fennel,https://www.pokemon.co.jp/series/bw/characters/characters05.html,Registered,core site page
JP-BW-PKM-CHAR-N,BW,Pokemon.co.jp,official-web,N,https://www.pokemon.co.jp/series/bw/characters/characters04.html,Registered,core site page
JP-BW-PKM-CHAR-PLASMA1,BW,Pokemon.co.jp,official-web,Team Plasma 1,https://www.pokemon.co.jp/series/bw/characters/characters08.html,Registered,core site page
JP-BW-PKM-CHAR-PLASMA2,BW,Pokemon.co.jp,official-web,Team Plasma 2,https://www.pokemon.co.jp/series/bw/characters/characters06.html,Registered,core site page
JP-BW-PKM-CHAR-GYM1,BW,Pokemon.co.jp,official-web,Gym Leaders 1,https://www.pokemon.co.jp/series/bw/characters/characters07.html,Registered,core site page
JP-BW-PKM-CHAR-GYM2,BW,Pokemon.co.jp,official-web,Gym Leaders 2,https://www.pokemon.co.jp/series/bw/characters/characters09.html,Registered,core site page
JP-BW-PKM-CONN-ROOT,BW,Pokemon.co.jp,official-web,Communication root,https://www.pokemon.co.jp/series/bw/connection/,Registered,core site page
JP-BW-PKM-CONN-CGEAR,BW,Pokemon.co.jp,official-web,C-Gear,https://www.pokemon.co.jp/series/bw/connection/connection01.html,Registered,core site page
JP-BW-PKM-CONN-WIRELESS,BW,Pokemon.co.jp,official-web,Wireless,https://www.pokemon.co.jp/series/bw/connection/connection04.html,Registered,core site page
JP-BW-PKM-CONN-ENTRALINK,BW,Pokemon.co.jp,official-web,Entralink,https://www.pokemon.co.jp/series/bw/connection/connection04-01.html,Registered,core site page
JP-BW-PKM-CONN-XTRANS,BW,Pokemon.co.jp,official-web,Xtransceiver,https://www.pokemon.co.jp/series/bw/connection/connection04-02.html,Registered,core site page
JP-BW-PKM-CONN-PASSBY,BW,Pokemon.co.jp,official-web,Pass-by Survey,https://www.pokemon.co.jp/series/bw/connection/connection07.html,Registered,core site page
JP-BW-PKM-CONN-WIFI,BW,Pokemon.co.jp,official-web,Wi-Fi/Game Sync/Dream World,https://www.pokemon.co.jp/series/bw/connection/connection05.html,Registered,core site page
JP-BW-PKM-CONN-IR,BW,Pokemon.co.jp,official-web,Infrared,https://www.pokemon.co.jp/series/bw/connection/connection06.html,Registered,core site page
JP-BW-PKM-CONN-FEEL,BW,Pokemon.co.jp,official-web,Feeling Check,https://www.pokemon.co.jp/series/bw/connection/connection06-01.html,Registered,core site page
JP-BW-PKM-CONN-RANDOM,BW,Pokemon.co.jp,official-web,Random Match,https://www.pokemon.co.jp/series/bw/connection/connection02.html,Registered,core site page
JP-BW-PKM-SYS-ROOT,BW,Pokemon.co.jp,official-web,System root,https://www.pokemon.co.jp/series/bw/system/,Registered,core site page
JP-BW-PKM-SYS-NEW,BW,Pokemon.co.jp,official-web,New features,https://www.pokemon.co.jp/series/bw/system/system01.html,Registered,core site page
JP-BW-PKM-SYS-KANJI,BW,Pokemon.co.jp,official-web,Kanji mode,https://www.pokemon.co.jp/series/bw/system/system01-01.html,Registered,core site page
JP-BW-PKM-SYS-TRANSFER,BW,Pokemon.co.jp,official-web,Poke Transfer,https://www.pokemon.co.jp/series/bw/system/system01-02.html,Registered,core site page
JP-BW-PKM-SYS-BATTLE,BW,Pokemon.co.jp,official-web,Battle,https://www.pokemon.co.jp/series/bw/system/system02.html,Registered,core site page
JP-BW-PKM-SYS-DOUBLEWILD,BW,Pokemon.co.jp,official-web,Double wild encounter,https://www.pokemon.co.jp/series/bw/system/system02-01.html,Registered,core site page
JP-BW-PKM-SYS-ROTATION,BW,Pokemon.co.jp,official-web,Rotation Battle,https://www.pokemon.co.jp/series/bw/system/system02-02.html,Registered,core site page
JP-BW-PKM-SYS-LAUNCHER,BW,Pokemon.co.jp,official-web,Wonder Launcher/Miracle Shooter,https://www.pokemon.co.jp/series/bw/system/system02-03.html,Registered,core site page
JP-BW-PKM-SYS-SUBWAY,BW,Pokemon.co.jp,official-web,Battle Subway,https://www.pokemon.co.jp/series/bw/system/system02-04.html,Registered,core site page
JP-BW-PKM-SYS-MUSICAL,BW,Pokemon.co.jp,official-web,Pokemon Musical,https://www.pokemon.co.jp/series/bw/system/system03.html,Registered,core site page
JP-BW-PKM-PGL-ROOT,BW,Pokemon.co.jp,official-web,PGL root,https://www.pokemon.co.jp/series/bw/pgl/,Registered,core site page
JP-BW-PKM-PGL-OVERVIEW,BW,Pokemon.co.jp,official-web,PGL overview,https://www.pokemon.co.jp/series/bw/pgl/pgl01.html,Registered,core site page
JP-BW-PKM-PGL-DW,BW,Pokemon.co.jp,official-web,Pokemon Dream World,https://www.pokemon.co.jp/series/bw/pgl/pgl02.html,Registered,core site page
JP-BW-PKM-PGL-ABILITY,BW,Pokemon.co.jp,official-web,Dream World abilities,https://www.pokemon.co.jp/series/bw/pgl/pgl02_01.html,Registered,core site page
JP-BW-PKM-PGL-MORE,BW,Pokemon.co.jp,official-web,Additional Dream World features,https://www.pokemon.co.jp/series/bw/pgl/pgl02_03.html,Registered,core site page
JP-BW-PKM-PGL-BATTLE,BW,Pokemon.co.jp,official-web,Global Battle,https://www.pokemon.co.jp/series/bw/pgl/pgl03.html,Registered,core site page
JP-BW-NIN-ROOT,BW,Nintendo,official-web,Nintendo BW root,https://www.nintendo.co.jp/ds/irbj/index.html,Registered,product
JP-BW-NIN-ABOUT,BW,Nintendo,official-web,Nintendo BW overview,https://www.nintendo.co.jp/ds/irbj/about/index.html,Registered,features
JP-BW-NIN-INFO2,BW,Nintendo,official-web,Movie/event transfer info,https://www.nintendo.co.jp/ds/irbj/information/index2.html,Registered,event transfer
JP-BW-NIN-INFO3,BW,Nintendo,official-web,DSi bundle info,https://www.nintendo.co.jp/ds/irbj/information/index3.html,Registered,hardware bundle
JP-BW-NIN-TOPIC-1,BW,Nintendo,official-web,Unova,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_01/file1.html,Registered,topics/file series; branch still Enumerating
JP-BW-NIN-TOPIC-5,BW,Nintendo,official-web,Zekrom,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_02/file5.html,Registered,topics/file series; branch still Enumerating
JP-BW-NIN-TOPIC-6,BW,Nintendo,official-web,Field graphics,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_02/file6.html,Registered,topics/file series; branch still Enumerating
JP-BW-NIN-TOPIC-7,BW,Nintendo,official-web,Starters,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_03/file7.html,Registered,topics/file series; branch still Enumerating
JP-BW-NIN-TOPIC-8,BW,Nintendo,official-web,Professor Juniper,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_03/file8.html,Registered,topics/file series; branch still Enumerating
JP-BW-NIN-TOPIC-9,BW,Nintendo,official-web,N,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_03/file9.html,Registered,topics/file series; branch still Enumerating
JP-BW-NIN-TOPIC-16,BW,Nintendo,official-web,Team Plasma,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_06/file16.html,Registered,topics/file series; branch still Enumerating
JP-BW-NIN-TOPIC-27,BW,Nintendo,official-web,Dark grass/double wild,https://www.nintendo.co.jp/ds/irbj/topics/file/vol_09/file27.html,Registered,topics/file series; branch still Enumerating
JP-BW-NIN-IWATA-1,BW,Nintendo,developer-interview,DS second new-generation project,https://www.nintendo.co.jp/ds/interview/irbj/vol1/index.html,Enumerated-core,Iwata Asks
JP-BW-NIN-IWATA-2,BW,Nintendo,developer-interview,Renewed Pokemon world,https://www.nintendo.co.jp/ds/interview/irbj/vol1/index2.html,Enumerated-core,Iwata Asks
JP-BW-NIN-IWATA-3,BW,Nintendo,developer-interview,Communication expands play,https://www.nintendo.co.jp/ds/interview/irbj/vol1/index3.html,Enumerated-core,Iwata Asks
JP-BW-NIN-IWATA-4,BW,Nintendo,developer-interview,Unchanging Pokemon identity,https://www.nintendo.co.jp/ds/interview/irbj/vol1/index4.html,Enumerated-core,Iwata Asks
JP-BW-NIN-IWATA-5,BW,Nintendo,developer-interview,New world and encounters,https://www.nintendo.co.jp/ds/interview/irbj/vol1/index5.html,Enumerated-core,Iwata Asks
JP-B2W2-PKM-ROOT,B2W2,Pokemon.co.jp,official-web,B2W2 root,https://www.pokemon.co.jp/ex/b2w2/,Enumerating,core site; news/media external destinations remain open
JP-B2W2-PKM-STORY-ROOT,B2W2,Pokemon.co.jp,official-web,Story root,https://www.pokemon.co.jp/ex/b2w2/story/,Registered,core site page
JP-B2W2-PKM-STORY1,B2W2,Pokemon.co.jp,official-web,Version differences,https://www.pokemon.co.jp/ex/b2w2/story/story01.html,Registered,core site page
JP-B2W2-PKM-STORY2,B2W2,Pokemon.co.jp,official-web,N past/N Castle,https://www.pokemon.co.jp/ex/b2w2/story/story02.html,Registered,core site page
JP-B2W2-PKM-STORY3,B2W2,Pokemon.co.jp,official-web,Black Tower/White Treehollow,https://www.pokemon.co.jp/ex/b2w2/story/story03.html,Registered,core site page
JP-B2W2-PKM-CHAR-ROOT,B2W2,Pokemon.co.jp,official-web,Characters/protagonists,https://www.pokemon.co.jp/ex/b2w2/characters/,Registered,core site page
JP-B2W2-PKM-CHAR01,B2W2,Pokemon.co.jp,official-web,Rival,https://www.pokemon.co.jp/ex/b2w2/characters/character01.html,Registered,character
JP-B2W2-PKM-CHAR02,B2W2,Pokemon.co.jp,official-web,Colress,https://www.pokemon.co.jp/ex/b2w2/characters/character02.html,Registered,character
JP-B2W2-PKM-CHAR03,B2W2,Pokemon.co.jp,official-web,Roxie,https://www.pokemon.co.jp/ex/b2w2/characters/character03.html,Registered,character
JP-B2W2-PKM-CHAR04,B2W2,Pokemon.co.jp,official-web,Marlon,https://www.pokemon.co.jp/ex/b2w2/characters/character04.html,Registered,character
JP-B2W2-PKM-CHAR05,B2W2,Pokemon.co.jp,official-web,Bianca,https://www.pokemon.co.jp/ex/b2w2/characters/character05.html,Registered,character
JP-B2W2-PKM-CHAR06,B2W2,Pokemon.co.jp,official-web,Cheren,https://www.pokemon.co.jp/ex/b2w2/characters/character06.html,Registered,character
JP-B2W2-PKM-CHAR07,B2W2,Pokemon.co.jp,official-web,Alder,https://www.pokemon.co.jp/ex/b2w2/characters/character07.html,Registered,character
JP-B2W2-PKM-CHAR08,B2W2,Pokemon.co.jp,official-web,N,https://www.pokemon.co.jp/ex/b2w2/characters/character08.html,Registered,character
JP-B2W2-PKM-CHAR09,B2W2,Pokemon.co.jp,official-web,Elesa,https://www.pokemon.co.jp/ex/b2w2/characters/character09.html,Registered,character
JP-B2W2-PKM-CHAR10,B2W2,Pokemon.co.jp,official-web,Team Plasma member,https://www.pokemon.co.jp/ex/b2w2/characters/character10.html,Registered,character
JP-B2W2-PKM-CHAR11,B2W2,Pokemon.co.jp,official-web,Iris,https://www.pokemon.co.jp/ex/b2w2/characters/character11.html,Registered,character
JP-B2W2-PKM-CHAR12,B2W2,Pokemon.co.jp,official-web,Ghetsis,https://www.pokemon.co.jp/ex/b2w2/characters/character12.html,Registered,character
JP-B2W2-PKM-CHAR13,B2W2,Pokemon.co.jp,official-web,Zinzolin,https://www.pokemon.co.jp/ex/b2w2/characters/character13.html,Registered,character
JP-B2W2-PKM-CHAR14,B2W2,Pokemon.co.jp,official-web,Benga,https://www.pokemon.co.jp/ex/b2w2/characters/character14.html,Registered,character
JP-B2W2-PKM-POKEMON-ROOT,B2W2,Pokemon.co.jp,official-web,Black/White Kyurem,https://www.pokemon.co.jp/ex/b2w2/pokemon/,Registered,Pokemon
JP-B2W2-PKM-POKEMON01,B2W2,Pokemon.co.jp,official-web,New Unova Pokedex,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon01.html,Registered,Pokemon
JP-B2W2-PKM-POKEMON02,B2W2,Pokemon.co.jp,official-web,Starters,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon02.html,Registered,Pokemon
JP-B2W2-PKM-POKEMON03,B2W2,Pokemon.co.jp,official-web,Transfer/trade from BW and Gen IV,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon03.html,Registered,Pokemon
JP-B2W2-PKM-POKEMON04,B2W2,Pokemon.co.jp,official-web,Kyurem fusion/DNA Splicers,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon04.html,Registered,Pokemon
JP-B2W2-PKM-POKEMON05,B2W2,Pokemon.co.jp,official-web,Forces of Nature forms,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon05.html,Registered,Pokemon
JP-B2W2-PKM-POKEMON06,B2W2,Pokemon.co.jp,official-web,Complete Unova Pokedex,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon06.html,Registered,Pokemon
JP-B2W2-PKM-POKEMON07,B2W2,Pokemon.co.jp,official-web,Pokedex completion rewards,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon07.html,Registered,Pokemon
JP-B2W2-PKM-POKEMON08,B2W2,Pokemon.co.jp,official-web,Legendary Pokemon,https://www.pokemon.co.jp/ex/b2w2/pokemon/pokemon08.html,Registered,Pokemon
JP-B2W2-PKM-SYSTEM-ROOT,B2W2,Pokemon.co.jp,official-web,Pokestar Studios,https://www.pokemon.co.jp/ex/b2w2/system/,Registered,system
JP-B2W2-PKM-SYSTEM01,B2W2,Pokemon.co.jp,official-web,Pokemon World Tournament,https://www.pokemon.co.jp/ex/b2w2/system/system01.html,Registered,system
JP-B2W2-PKM-SYSTEM02,B2W2,Pokemon.co.jp,official-web,Funfest Mission,https://www.pokemon.co.jp/ex/b2w2/system/system02.html,Registered,system
JP-B2W2-PKM-SYSTEM03,B2W2,Pokemon.co.jp,official-web,Join Avenue,https://www.pokemon.co.jp/ex/b2w2/system/system03.html,Registered,system
JP-B2W2-PKM-SYSTEM04,B2W2,Pokemon.co.jp,official-web,Xtransceiver minigame,https://www.pokemon.co.jp/ex/b2w2/system/system04.html,Registered,system
JP-B2W2-PKM-SYSTEM05,B2W2,Pokemon.co.jp,official-web,Medal System,https://www.pokemon.co.jp/ex/b2w2/system/system05.html,Registered,system
JP-B2W2-PKM-SYSTEM06,B2W2,Pokemon.co.jp,official-web,Key System,https://www.pokemon.co.jp/ex/b2w2/system/system06.html,Registered,system
JP-B2W2-PKM-SYSTEM07,B2W2,Pokemon.co.jp,official-web,Memory Link,https://www.pokemon.co.jp/ex/b2w2/system/system07.html,Registered,system
JP-B2W2-PKM-SYSTEM08,B2W2,Pokemon.co.jp,official-web,Habitat list,https://www.pokemon.co.jp/ex/b2w2/system/system08.html,Registered,system
JP-B2W2-PKM-SYSTEM09,B2W2,Pokemon.co.jp,official-web,Communication battles/trades,https://www.pokemon.co.jp/ex/b2w2/system/system09.html,Registered,system
JP-B2W2-PKM-SYSTEM10,B2W2,Pokemon.co.jp,official-web,Other communication functions,https://www.pokemon.co.jp/ex/b2w2/system/system10.html,Registered,system
JP-B2W2-PKM-DLSOFT,B2W2,Pokemon.co.jp,official-web,Download software,https://www.pokemon.co.jp/ex/b2w2/dlsoft/,Registered,download software
JP-B2W2-PKM-AR,B2W2,Pokemon.co.jp,official-web,Pokemon Dream Radar / AR Searcher,https://www.pokemon.co.jp/ex/ar_searcher/,Registered,3DS software
JP-B2W2-PKM-ZUKAN,B2W2,Pokemon.co.jp,official-web,Pokedex 3D Pro,https://www.pokemon.co.jp/ex/zenkokuzukan_pro/,Registered,3DS software
JP-B2W2-PKM-PRODUCT,B2W2,Pokemon.co.jp,official-web,Product info,https://www.pokemon.co.jp/ex/b2w2/product/,Registered,product
JP-B2W2-PKM-NEWS,B2W2,Pokemon.co.jp,official-web,News index,https://www.pokemon.co.jp/ex/b2w2/news/,Enumerating,news index; child notices Enumerating
JP-B2W2-NIN-ROOT,B2W2,Nintendo,official-web,Nintendo B2W2 root,https://www.nintendo.co.jp/ds/irej/index.html,Registered,Nintendo B2W2
JP-B2W2-NIN-STORY,B2W2,Nintendo,official-web,Story,https://www.nintendo.co.jp/ds/irej/story/index.html,Registered,Nintendo B2W2
JP-B2W2-NIN-ADVENTURE,B2W2,Nintendo,official-web,Adventure,https://www.nintendo.co.jp/ds/irej/adventure/index.html,Registered,Nintendo B2W2
JP-B2W2-NIN-COMM,B2W2,Nintendo,official-web,Communication,https://www.nintendo.co.jp/ds/irej/communication/index.html,Registered,Nintendo B2W2
JP-B2W2-NIN-IWATA-1,B2W2,Nintendo,developer-interview,Two sequels and two years later,https://www.nintendo.co.jp/ds/interview/irej/vol1/index.html,Enumerated-core,Iwata Asks
JP-B2W2-NIN-IWATA-2,B2W2,Nintendo,developer-interview,100-person play,https://www.nintendo.co.jp/ds/interview/irej/vol1/index2.html,Enumerated-core,Iwata Asks
JP-B2W2-NIN-IWATA-3,B2W2,Nintendo,developer-interview,Space fantasy / Key System,https://www.nintendo.co.jp/ds/interview/irej/vol1/index3.html,Enumerated-core,Iwata Asks
JP-B2W2-NIN-IWATA-4,B2W2,Nintendo,developer-interview,Pokemon Center in starting town,https://www.nintendo.co.jp/ds/interview/irej/vol1/index4.html,Enumerated-core,Iwata Asks
JP-B2W2-NIN-IWATA-5,B2W2,Nintendo,developer-interview,What Pokemon values,https://www.nintendo.co.jp/ds/interview/irej/vol1/index5.html,Enumerated-core,Iwata Asks
JP-B2W2-NIN-IWATA-6,B2W2,Nintendo,developer-interview,Three sacred treasures,https://www.nintendo.co.jp/ds/interview/irej/vol1/index6.html,Enumerated-core,Iwata Asks
