file_id,path,kind,black_size,white_size,black_sha1,white_sha1,black_narc_members,white_narc_members,different_narc_members,different_member_indices
268,a/0/2/6,nitrofs,22228,22528,7c9bb86d8c84185afaef35238d6977cd308b869b,4eb9a1426b2a1a9789400bf4a9f33b3c25525693,15,15,8,0;1;2;3;4;6;7;8
328,a/0/8/6,nitrofs,3356,3356,ae8eeffe2ab7961fe6ccf24440e1703637209b83,5c49e3860610ab1f640466f369fe3b409f5170e8,1,1,1,0
368,a/1/2/6,nitrofs,35284,35284,523858b7935f517bd4e06d36cbd9cfd14eb76b03,c8aaa2e3cdb8046008923b5cd1a6d02675fe67e8,112,112,29,0;5;6;49;52;53;58;69;71;75;77;79;80;81;82;83;84;95;98;99;100;101;102;104;105;106;107;108;109
420,a/1/7/8,nitrofs,168792,168792,eb20c73d966edf4240cfedce618c6368a0536a11,31fa21c88da55b36b002db8ee7f9d3290c9b1e26,649,649,26,10;11;13;14;197;199;366;367;428;429;537;538;545;546;547;548;573;574;575;576;577;578;626;627;628;629
473,a/2/3/1,nitrofs,1208900,1210248,1eb16bec8ababe007e531afc8b700f5ee4c77ce8,a21c1ea637e67127b0d46682080e502526afa69c,73,73,2,1;63
