species_id,species_name,member_index,different_bytes,black_sha1,white_sha1
11,Metapod,10,8,99eb6edaf00c52a450bfe81aebc591393a2919c9,87a86c99ab196fdfd8097c1f00bf1cc424a3d466
12,Butterfree,11,8,99eb6edaf00c52a450bfe81aebc591393a2919c9,3115235811b52f51d9fb2c8fc5a324f2e819655b
14,Kakuna,13,8,87a86c99ab196fdfd8097c1f00bf1cc424a3d466,99eb6edaf00c52a450bfe81aebc591393a2919c9
15,Beedrill,14,8,3115235811b52f51d9fb2c8fc5a324f2e819655b,99eb6edaf00c52a450bfe81aebc591393a2919c9
198,Murkrow,197,8,8e3b166939876bf77ceac90ba9f890d24ae9d258,99eb6edaf00c52a450bfe81aebc591393a2919c9
200,Misdreavus,199,8,99eb6edaf00c52a450bfe81aebc591393a2919c9,8e3b166939876bf77ceac90ba9f890d24ae9d258
367,Huntail,366,8,182e42138a1f48f16a1a6400b1ad35797f496dcc,99eb6edaf00c52a450bfe81aebc591393a2919c9
368,Gorebyss,367,8,99eb6edaf00c52a450bfe81aebc591393a2919c9,182e42138a1f48f16a1a6400b1ad35797f496dcc
429,Mismagius,428,8,99eb6edaf00c52a450bfe81aebc591393a2919c9,02302f82bf38b4e294352e386c23e5c898af9f26
430,Honchkrow,429,8,02302f82bf38b4e294352e386c23e5c898af9f26,99eb6edaf00c52a450bfe81aebc591393a2919c9
538,Throh,537,16,3f5d155cada691a12dd0d59dcd0343cab3d1b312,278982df53caa49b9fcc37e0b22b868127988219
539,Sawk,538,16,278982df53caa49b9fcc37e0b22b868127988219,3f5d155cada691a12dd0d59dcd0343cab3d1b312
546,Cottonee,545,16,3f74a4460dcd9df7641ea456e77ff4b0af654a56,99eb6edaf00c52a450bfe81aebc591393a2919c9
547,Whimsicott,546,16,13f258dff03a2647f915e00c21e3a3e62e029e3f,99eb6edaf00c52a450bfe81aebc591393a2919c9
548,Petilil,547,16,99eb6edaf00c52a450bfe81aebc591393a2919c9,3f74a4460dcd9df7641ea456e77ff4b0af654a56
549,Lilligant,548,16,99eb6edaf00c52a450bfe81aebc591393a2919c9,13f258dff03a2647f915e00c21e3a3e62e029e3f
574,Gothita,573,12,b72aa0aeef0a380fa8f29187e7475f78fb42841d,99eb6edaf00c52a450bfe81aebc591393a2919c9
575,Gothorita,574,8,64e03b383cfee94d20bec1089dc8c0d78eea4a7d,99eb6edaf00c52a450bfe81aebc591393a2919c9
576,Gothitelle,575,8,411bf9b6ffffb57d555ff8b728d7c2cd13fa57b8,99eb6edaf00c52a450bfe81aebc591393a2919c9
577,Solosis,576,12,99eb6edaf00c52a450bfe81aebc591393a2919c9,b72aa0aeef0a380fa8f29187e7475f78fb42841d
578,Duosion,577,8,99eb6edaf00c52a450bfe81aebc591393a2919c9,64e03b383cfee94d20bec1089dc8c0d78eea4a7d
579,Reuniclus,578,8,99eb6edaf00c52a450bfe81aebc591393a2919c9,411bf9b6ffffb57d555ff8b728d7c2cd13fa57b8
627,Rufflet,626,20,99eb6edaf00c52a450bfe81aebc591393a2919c9,7b84363282b44acfdbd013d29d68bfdbd53a42c8
628,Braviary,627,12,99eb6edaf00c52a450bfe81aebc591393a2919c9,3ef4860233a7099d14ed545a867c759468b05026
629,Vullaby,628,20,7b84363282b44acfdbd013d29d68bfdbd53a42c8,99eb6edaf00c52a450bfe81aebc591393a2919c9
630,Mandibuzz,629,12,3ef4860233a7099d14ed545a867c759468b05026,99eb6edaf00c52a450bfe81aebc591393a2919c9
